Mitigated agent 3: deviation=129.11, median=8.51, weight=0.04, threshold=123.89, original=137.62, new=132.41
Mitigated agent 3: deviation=137.63, median=7.87, weight=0.14, threshold=117.90, original=145.51, new=125.78
Mitigated agent 3: deviation=141.03, median=7.26, weight=0.23, threshold=108.85, original=148.29, new=116.10
Mitigated agent 3: deviation=130.19, median=6.87, weight=0.21, threshold=103.01, original=137.06, new=109.88
Mitigated agent 3: deviation=105.86, median=6.81, weight=0.04, threshold=102.13, original=112.67, new=108.93
Mitigated agent 0: deviation=85.26, median=-16.28, weight=0.09, threshold=77.81, original=-101.54, new=-94.09
Mitigated agent 0: deviation=195.43, median=-49.63, weight=0.01, threshold=193.11, original=145.80, new=143.48
Mitigated agent 0: deviation=206.49, median=-51.30, weight=0.08, threshold=189.09, original=155.20, new=137.79
Mitigated agent 0: deviation=215.55, median=-52.96, weight=0.14, threshold=185.07, original=162.59, new=132.11
Mitigated agent 0: deviation=211.35, median=-54.35, weight=0.10, threshold=189.66, original=157.00, new=135.31
Mitigated agent 0: deviation=193.12, median=-54.62, weight=0.01, threshold=192.10, original=138.49, new=137.48
Mitigated agent 0: deviation=17078.45, median=-1830.25, weight=0.02, threshold=16660.45, original=15248.19, new=14830.20
Mitigated agent 2: deviation=2698.50, median=820.80, weight=0.13, threshold=2349.07, original=-1877.70, new=-1528.27
Mitigated agent 2: deviation=2880.51, median=920.61, weight=0.39, threshold=1753.38, original=-1959.90, new=-832.77
Mitigated agent 2: deviation=2757.26, median=920.13, weight=0.58, threshold=1153.93, original=-1837.14, new=-233.81
Mitigated agent 2: deviation=1952.53, median=678.61, weight=0.71, threshold=561.99, original=-1273.92, new=116.61
Mitigated agent 2: deviation=1977.38, median=-594.59, weight=0.08, threshold=1820.77, original=1382.79, new=1226.18
Mitigated agent 2: deviation=2769.53, median=-845.00, weight=0.13, threshold=2416.46, original=1924.53, new=1571.46
Mitigated agent 2: deviation=3424.64, median=-1048.93, weight=0.12, threshold=3012.15, original=2375.71, new=1963.22
Mitigated agent 2: deviation=3907.85, median=-1195.35, weight=0.08, threshold=3607.84, original=2712.50, new=2412.49
Mitigated agent 2: deviation=4304.81, median=-1313.58, weight=0.02, threshold=4203.53, original=2991.23, new=2889.95
Mitigated agent 0: deviation=47908.95, median=-7017.82, weight=0.00, threshold=47901.30, original=40891.13, new=40883.48
Mitigated agent 0: deviation=49527.61, median=-7282.71, weight=0.01, threshold=49197.18, original=42244.90, new=41914.47
Mitigated agent 0: deviation=51140.18, median=-7544.87, weight=0.01, threshold=50495.77, original=43595.31, new=42950.90
Mitigated agent 2: deviation=7299.33, median=-2261.17, weight=0.02, threshold=7136.60, original=5038.16, new=4875.43
Mitigated agent 2: deviation=7862.20, median=-2480.64, weight=0.21, threshold=6203.32, original=5381.56, new=3722.68
Mitigated agent 0: deviation=52474.35, median=-7774.41, weight=0.01, threshold=51851.50, original=44699.94, new=44077.09
Mitigated agent 0: deviation=53515.31, median=-7958.97, weight=0.00, threshold=53271.04, original=45556.33, new=45312.07
Mitigated agent 2: deviation=8280.99, median=-2647.62, weight=0.43, threshold=4713.83, original=5633.38, new=2066.22
Mitigated agent 2: deviation=7348.65, median=-2345.39, weight=0.49, threshold=3742.74, original=5003.27, new=1397.35
Mitigated agent 2: deviation=4720.62, median=-1497.96, weight=0.45, threshold=2617.20, original=3222.66, new=1119.23
Mitigated agent 2: deviation=1735.30, median=-536.95, weight=0.15, threshold=1478.88, original=1198.35, new=941.93
Mitigated agent 2: deviation=697.35, median=232.45, weight=0.51, threshold=340.57, original=-464.90, new=-108.11
Mitigated agent 2: deviation=2348.19, median=776.30, weight=0.66, threshold=797.75, original=-1571.89, new=-21.45
Mitigated agent 0: deviation=82083.47, median=-10342.62, weight=0.02, threshold=80048.10, original=71740.85, new=69705.49
Mitigated agent 0: deviation=88049.20, median=-11113.89, weight=0.08, threshold=81258.44, original=76935.32, new=70144.55
Mitigated agent 0: deviation=92237.21, median=-11505.25, weight=0.11, threshold=82468.77, original=80731.96, new=70963.53
Mitigated agent 2: deviation=14407.17, median=4302.09, weight=0.78, threshold=3103.55, original=-10105.08, new=1198.53
Mitigated agent 0: deviation=92245.11, median=-11344.05, weight=0.09, threshold=83679.11, original=80901.06, new=72335.06
Mitigated agent 0: deviation=13282.47, median=-4254.95, weight=0.53, threshold=6210.17, original=9027.53, new=1955.22
Mitigated agent 0: deviation=26748.95, median=6801.34, weight=0.18, threshold=22029.41, original=-19947.61, new=-15228.07
Mitigated agent 0: deviation=31953.52, median=9250.38, weight=0.80, threshold=4756.68, original=-22703.14, new=2859.67
Mitigated agent 0: deviation=31559.37, median=9396.04, weight=0.00, threshold=31551.78, original=-22163.32, new=-22155.74
Mitigated agent 2: deviation=36359.72, median=11658.02, weight=0.41, threshold=21531.27, original=-24701.70, new=-9873.25
Mitigated agent 2: deviation=39246.70, median=12987.32, weight=0.80, threshold=4990.17, original=-26259.38, new=5137.98
Mitigated agent 2: deviation=28388.98, median=9222.27, weight=0.59, threshold=11550.94, original=-19166.71, new=-2328.67
Mitigated agent 2: deviation=157365.46, median=-52489.96, weight=0.18, threshold=128429.53, original=104875.50, new=75939.56
Mitigated agent 0: deviation=529473.49, median=166161.86, weight=0.12, threshold=464165.56, original=-363311.63, new=-298003.71
Mitigated agent 0: deviation=554214.90, median=176278.92, weight=0.31, threshold=380746.46, original=-377935.98, new=-204467.54
Mitigated agent 0: deviation=521812.38, median=167347.30, weight=0.43, threshold=297327.35, original=-354465.08, new=-129980.06
Mitigated agent 0: deviation=394768.41, median=126860.31, weight=0.46, threshold=213908.25, original=-267908.10, new=-87047.94
Mitigated agent 0: deviation=208799.32, median=66723.93, weight=0.38, threshold=130489.14, original=-142075.39, new=-63765.21
Mitigated agent 0: deviation=122059.66, median=-39862.27, weight=0.70, threshold=36349.07, original=82197.38, new=-3513.21
Mitigated agent 0: deviation=238215.83, median=-76729.04, weight=0.50, threshold=119768.17, original=161486.79, new=43039.13
Mitigated agent 0: deviation=296506.09, median=-94305.52, weight=0.31, threshold=203187.28, original=202200.57, new=108881.76
