         50068 function calls (49873 primitive calls) in 28.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   23.662   23.662 /usr/local/lib/python3.8/dist-packages/mosaik/scenario.py:472(run)
        4    0.000    0.000   23.653    5.913 /usr/local/lib/python3.8/dist-packages/mosaik/util.py:14(sync_process)
        4    0.000    0.000   23.653    5.913 /usr/local/lib/python3.8/dist-packages/simpy/core.py:99(run)
      255    0.001    0.000   23.652    0.093 /usr/local/lib/python3.8/dist-packages/simpy/io/base.py:59(step)
      182    0.001    0.000   23.650    0.130 /usr/local/lib/python3.8/dist-packages/simpy/events.py:352(_resume)
      180    0.000    0.000   23.649    0.131 {method 'send' of 'generator' objects}
      173    0.002    0.000   23.219    0.134 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:71(sim_process)
       87    0.001    0.000   23.190    0.267 /usr/local/lib/python3.8/dist-packages/mosaik_api/__init__.py:481(wrapper)
       84    0.000    0.000   23.190    0.276 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:405(step)
       21    0.002    0.000   23.160    1.103 /root/models/cosima_core/simulators/communication_simulator.py:302(step)
      114   21.457    0.188   21.457    0.188 {method 'acquire' of '_thread.lock' objects}
       21    0.001    0.000   21.043    1.002 /root/models/cosima_core/simulators/communication_simulator.py:222(send_message_to_omnetpp)
       21    0.000    0.000   21.034    1.002 /root/models/cosima_core/simulators/omnetpp_connection.py:59(send_messages)
       22    0.000    0.000   21.028    0.956 /usr/lib/python3.8/threading.py:979(join)
       22    0.000    0.000   21.027    0.956 /usr/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
       22    7.107    0.323    7.107    0.323 {built-in method time.sleep}
       21    0.001    0.000    2.107    0.100 /root/models/cosima_core/simulators/communication_simulator.py:133(receive_messages_from_omnetpp)
       21    0.000    0.000    2.104    0.100 /root/models/cosima_core/simulators/omnetpp_connection.py:76(return_messages)
