         9610377 function calls (9601061 primitive calls) in 6.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.127    0.127    5.683    5.683 /home/lorenzo/Scrivania/lavoro/borsaNOgui/discrete_event_sim.py:24(run)
   125630    0.137    0.000    4.069    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:305(process)
     4284    1.503    0.000    3.837    0.001 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:70(optimize)
     4284    1.461    0.000    1.996    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:129(_update_objective)
   251211    0.465    0.000    1.112    0.000 {built-in method _heapq.heappop}
        1    0.000    0.000    0.677    0.677 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:18(__init__)
  2067854    0.435    0.000    0.655    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/discrete_event_sim.py:48(__lt__)
        1    0.000    0.000    0.566    0.566 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/__init__.py:402(plot)
    25882    0.426    0.000    0.497    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.377    0.377 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/utils.py:448(find_matplotlib)
    146/2    0.001    0.000    0.377    0.189 <frozen importlib._bootstrap>:1022(_find_and_load)
    141/2    0.000    0.000    0.377    0.189 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    141/2    0.000    0.000    0.377    0.188 <frozen importlib._bootstrap>:664(_load_unlocked)
    130/2    0.000    0.000    0.377    0.188 <frozen importlib._bootstrap_external>:877(exec_module)
    205/2    0.000    0.000    0.376    0.188 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    136/2    0.001    0.000    0.376    0.188 {built-in method builtins.exec}
   125579    0.216    0.000    0.366    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:274(process)
    56/13    0.000    0.000    0.333    0.026 {built-in method builtins.__import__}
   205/33    0.000    0.000    0.333    0.010 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.318    0.318 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/pyplot.py:1(<module>)
     4284    0.255    0.000    0.296    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:149(_opti_status)
  744/646    0.008    0.000    0.268    0.000 {built-in method builtins.__build_class__}
  4136634    0.220    0.000    0.220    0.000 {built-in method builtins.id}
      105    0.001    0.000    0.216    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.212    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:126(__init_subclass__)
        1    0.000    0.000    0.188    0.188 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/__init__.py:285(save)
      117    0.000    0.000    0.169    0.001 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1837(kwdoc)
        1    0.000    0.000    0.163    0.163 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/figure.py:1(<module>)
   541585    0.078    0.000    0.156    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
        1    0.000    0.000    0.155    0.155 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/projections/__init__.py:1(<module>)
      117    0.004    0.000    0.144    0.001 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1598(pprint_setters)
        1    0.000    0.000    0.131    0.131 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colorbar.py:1(<module>)
        1    0.000    0.000    0.129    0.129 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/__init__.py:257(redraw)
        1    0.000    0.000    0.128    0.128 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/__init__.py:3983(__plot__)
        1    0.003    0.003    0.128    0.128 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/graph.py:221(draw)
     4252    0.010    0.000    0.119    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1470(get_valid_values)
     1513    0.011    0.000    0.116    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/edge.py:204(draw_directed_edge)
        1    0.004    0.004    0.108    0.108 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:112(Opti_LocDec_InitModel)
       51    0.001    0.000    0.104    0.002 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:19(__init__)
       51    0.042    0.001    0.103    0.002 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:93(_build_model)
