method,alpha,byzantine_ids,byzantine_attack_probability,byzantine_multiplier_upper,byzantine_max_tampering,iterations,mitigation_count,avg_weight,avg_deviation
method2,0.5,[2],0.1,1.2,5,121,121,0.22438016528925614,117.28008264462808
method1,,[2],0.5,1.3,30,32,32,0.249375,104.72593750000003
method2,0.25,[2],0.01,1.5,30,274,274,0.11299270072992716,263.3594525547447
method2,0.75,[2],0.01,1.2,5,147,147,0.18428571428571436,206.67210884353747
method1,,[2],0.5,1.3,5,67,67,0.19164179104477605,107.52223880597012
method1,,[2],0.5,1.5,10,27,27,0.022592592592592595,80.63703703703705
method2,0.25,[2],0.5,1.3,10,151,151,0.2268874172185429,183.71516556291382
method1,,[2],0.05,1.2,5,69,69,0.20855072463768107,108.27826086956523
method1,,[2],0.1,1.5,10,113,113,0.27451327433628336,239.67592920353982
method2,0.25,[2],0.5,1.5,50,168,168,0.1981547619047621,171.9131547619048
method1,,[2],0.1,1.2,10,6,6,0.08,70.115
method2,0.5,[2],0.5,1.2,50,259,259,0.2585714285714284,562.9283397683398
method2,0.5,[2],0.1,1.3,50,17,17,0.02470588235294118,79.61411764705883
method2,0.5,[2],0.01,1.3,5,60,60,0.394,248.71166666666667
method2,0.5,[2],0.05,1.3,1,188,188,0.34122340425531894,208.4793617021276
method2,0.75,[2],0.5,1.5,30,61,61,0.360327868852459,276.97557377049174
method2,0.25,[2],0.5,1.2,5,53,53,0.2584905660377358,152.41698113207542
method2,0.5,[2],0.05,1.2,50,74,74,0.29324324324324336,192.9093243243243
method2,0.25,[2],0.5,1.2,30,124,124,0.2875806451612902,157.7550806451613
method1,,[2],0.01,1.5,10,233,233,0.3299999999999999,403.8624892703863
method2,0.9,[2],0.05,1.2,1,98,98,0.299795918367347,176.16806122448983
method2,0.9,[2],0.05,1.3,1,69,69,0.2518840579710146,118.93623188405797
method1,,[2],0.01,1.2,5,147,147,0.3178911564625852,279.5997278911564
method2,0.5,[2],0.05,1.5,5,63,63,0.319047619047619,193.34269841269833
method2,0.25,[2],0.1,1.2,10,43,43,0.15325581395348828,124.3858139534884
method1,,[2],0.01,1.2,30,41,41,0.22829268292682925,110.52170731707315
method1,,[2],0.05,1.5,5,184,184,0.4164673913043475,632.1160326086958
method2,0.9,[2],0.01,1.2,50,76,76,0.18131578947368418,134.6538157894737
method2,0.5,[2],0.05,1.5,1,161,161,0.40633540372670834,265.53813664596294
method1,,[2],0.05,1.3,50,87,87,0.3279310344827586,232.1327586206896
method2,0.25,[2],0.5,1.2,50,58,58,0.33517241379310353,197.74086206896547
method2,0.75,[2],0.5,1.5,1,33,33,0.24757575757575753,109.93393939393938
method2,0.9,[2],0.1,1.5,50,283,283,0.3128268551236751,432.42388692579505
method2,0.25,[2],0.01,1.5,50,57,57,0.26894736842105255,111.85508771929824
method1,,[2],0.1,1.5,1,42,42,0.20142857142857137,106.28333333333333
method2,0.5,[2],0.05,1.5,10,55,55,0.33727272727272734,198.93854545454545
method2,0.25,[2],0.5,1.5,5,39,39,0.1864102564102564,99.95051282051283
method2,0.9,[2],0.5,1.5,10,107,107,0.25663551401869156,238.9883177570094
method1,,[2],0.1,1.2,5,59,59,0.35847457627118634,287.8213559322033
method2,0.9,[2],0.1,1.5,1,121,121,0.3297520661157026,194.51099173553712
method1,,[2],0.01,1.5,30,94,94,0.11138297872340405,107.57382978723405
method2,0.9,[2],0.1,1.2,5,250,250,0.3321999999999997,319.88928000000016
method2,0.25,[2],0.01,1.3,30,82,82,0.2695121951219512,143.87548780487808
method2,0.25,[2],0.1,1.5,10,2,2,0.09,68.82
method2,0.9,[2],0.05,1.2,50,59,59,0.13338983050847453,118.83661016949155
method1,,[2],0.01,1.2,10,110,110,0.09554545454545438,118.78363636363643
method2,0.75,[2],0.1,1.2,10,70,70,0.28557142857142886,268.5460000000001
method2,0.5,[2],0.1,1.3,10,13,13,0.02692307692307693,81.59076923076924
method2,0.9,[2],0.01,1.5,50,91,91,0.389120879120879,339.8047252747253
method2,0.25,[2],0.05,1.3,50,167,167,0.1907784431137726,173.41035928143708
method2,0.9,[2],0.5,1.5,5,73,73,0.21931506849315066,111.91876712328768
method2,0.75,[2],0.1,1.2,5,112,112,0.25241071428571443,214.10749999999987
method2,0.5,[2],0.1,1.2,1,155,155,0.24432258064516132,164.10606451612898
method2,0.25,[2],0.1,1.2,1,30,30,0.28633333333333333,121.545
method2,0.25,[2],0.1,1.5,50,6,6,0.09666666666666666,69.89
method1,,[2],0.01,1.5,5,111,111,0.38063063063063063,225.31126126126122
method2,0.25,[2],0.5,1.5,30,30,30,0.26999999999999996,107.65799999999999
method2,0.25,[2],0.01,1.3,1,96,96,0.3110416666666666,215.32624999999996
method2,0.75,[2],0.05,1.5,30,77,77,0.23077922077922106,180.36415584415582
method1,,[2],0.01,1.2,50,46,46,0.3284782608695652,161.01999999999995
method2,0.9,[2],0.1,1.3,1,179,179,0.23469273743016766,939.5777094972067
method1,,[2],0.5,1.5,50,15,15,0.021333333333333336,84.13733333333333
method1,,[2],0.01,1.3,5,208,208,0.24990384615384598,200.4814423076923
method2,0.75,[2],0.01,1.5,1,103,103,0.2843689320388349,208.13572815533976
method2,0.9,[2],0.01,1.3,30,114,114,0.3335964912280701,206.4626315789473
method2,0.25,[2],0.01,1.3,5,73,73,0.42780821917808226,257.85835616438345
method2,0.25,[2],0.1,1.5,1,155,155,0.2572903225806453,165.70638709677405
method2,0.5,[2],0.5,1.5,30,206,206,0.3070873786407768,224.40582524271838
method2,0.25,[2],0.05,1.3,1,82,82,0.2782926829268297,221.25036585365862
method2,0.25,[2],0.1,1.3,50,121,121,0.3453719008264465,274.4810743801653
method2,0.25,[2],0.05,1.2,10,91,91,0.2857142857142857,167.285934065934
method2,0.5,[2],0.01,1.2,30,160,160,0.28900000000000003,205.36024999999995
method2,0.9,[2],0.1,1.3,50,85,85,0.31023529411764705,174.78999999999996
method2,0.75,[2],0.5,1.3,30,25,25,0.24159999999999995,106.99680000000001
method2,0.5,[2],0.05,1.5,50,27,27,0.2822222222222222,110.7466666666667
method1,,[2],0.1,1.2,1,106,106,0.23264150943396245,188.2482075471698
method2,0.25,[2],0.5,1.3,30,103,103,0.27902912621359216,160.81184466019414
method2,0.25,[2],0.1,1.2,5,224,224,0.22861607142857143,1450.4532589285714
method2,0.9,[2],0.1,1.2,50,134,134,0.34589552238805976,206.58171641791057
method2,0.75,[2],0.1,1.3,5,26,26,0.015000000000000005,85.32923076923075
method2,0.25,[2],0.5,1.5,10,10,10,0.019000000000000006,81.56
method2,0.25,[2],0.05,1.5,1,146,146,0.41938356164383567,320.6525342465754
method2,0.25,[2],0.01,1.5,10,48,48,0.19645833333333326,105.9264583333333
method1,,[2],0.1,1.5,50,59,59,0.3632203389830509,290.2613559322033
method2,0.75,[2],0.1,1.2,50,87,87,0.34459770114942523,227.18264367816099
method2,0.5,[2],0.01,1.3,10,196,196,0.27275510204081643,252.0264795918368
method2,0.25,[2],0.1,1.5,5,58,58,0.41051724137931045,186.50517241379305
method2,0.75,[2],0.5,1.2,5,279,279,0.35003584229390705,264.00784946236547
method2,0.9,[2],0.05,1.3,50,85,85,0.3389411764705882,226.44647058823531
method2,0.9,[2],0.05,1.5,5,3,3,0.06666666666666667,70.60000000000001
method2,0.5,[2],0.01,1.3,50,166,166,0.44343373493975896,266.092108433735
method2,0.5,[2],0.1,1.5,50,142,142,0.14169014084507064,117.57626760563382
method2,0.5,[2],0.5,1.5,10,3,3,0.06666666666666667,70.60000000000001
method1,,[2],0.5,1.5,30,204,204,0.2657843137254902,188.96872549019616
method2,0.25,[2],0.5,1.3,5,141,141,0.23226950354609924,177.0365957446808
method2,0.25,[2],0.01,1.2,50,58,58,0.3767241379310344,298.5256896551723
method1,,[2],0.01,1.3,30,28,28,0.2925,113.77821428571427
method2,0.75,[2],0.01,1.3,30,251,251,0.3763346613545821,222.56721115537846
method2,0.25,[2],0.01,1.2,10,117,117,0.3459829059829062,234.3445299145299
method1,,[2],0.5,1.3,50,37,37,0.22486486486486482,114.77324324324321
method2,0.5,[2],0.01,1.5,50,60,60,0.24799999999999994,109.08033333333336
method2,0.9,[2],0.05,1.5,50,53,53,0.27528301886792444,111.63301886792455
method2,0.9,[2],0.5,1.2,10,79,79,0.1982278481012657,109.076835443038
method2,0.9,[2],0.05,1.3,10,107,107,0.26355140186915876,223.80962616822427
method2,0.9,[2],0.5,1.3,5,52,52,0.1799999999999999,112.45038461538458
method2,0.25,[2],0.01,1.2,5,114,114,0.2707894736842105,218.9455263157895
method2,0.75,[2],0.5,1.2,30,180,180,0.22988888888888903,2015.8098333333335
method2,0.25,[2],0.01,1.3,10,3,3,0.06666666666666667,70.60000000000001
method2,0.5,[2],0.01,1.5,5,52,52,0.4286538461538464,317.7807692307692
method2,0.5,[2],0.05,1.2,30,315,315,0.14542857142857174,243.45025396825383
method2,0.75,[2],0.1,1.5,1,125,125,0.23576,172.17744000000002
method1,,[2],0.05,1.2,1,43,43,0.1904651162790697,104.96488372093023
method2,0.25,[2],0.05,1.2,50,37,37,0.40864864864864864,395.14729729729737
method2,0.9,[2],0.5,1.5,1,121,121,0.31958677685950415,240.89586776859505
method2,0.9,[2],0.5,1.5,50,110,110,0.10099999999999984,116.99290909090915
method2,0.25,[2],0.1,1.3,30,56,56,0.3830357142857142,296.13535714285706
method2,0.5,[2],0.01,1.2,10,25,25,0.2608,110.0844
method2,0.5,[2],0.01,1.2,1,195,195,0.198974358974359,183.27907692307699
method2,0.5,[2],0.5,1.2,1,54,54,0.3666666666666667,319.12166666666667
method2,0.5,[2],0.5,1.2,10,41,41,0.19365853658536586,111.61195121951222
method2,0.9,[2],0.5,1.3,10,66,66,0.14136363636363627,101.1793939393939
method2,0.75,[2],0.1,1.3,1,147,147,0.33591836734693875,219.8145578231292
method2,0.25,[2],0.1,1.3,1,73,73,0.23246575342465767,112.00794520547943
method2,0.9,[2],0.5,1.5,30,94,94,0.338936170212766,186.60734042553187
method2,0.5,[2],0.05,1.3,50,133,133,0.27323308270676694,200.24887218045117
method2,0.25,[2],0.1,1.3,10,144,144,0.4747222222222222,292.6475694444445
method2,0.75,[2],0.05,1.3,5,181,181,0.34784530386740353,292.31723756906075
method2,0.75,[2],0.5,1.5,5,14,14,0.022142857142857148,80.66785714285713
method2,0.75,[2],0.5,1.2,1,33,33,0.22575757575757568,117.95515151515148
method2,0.25,[2],0.1,1.2,30,286,286,0.2778671328671329,515.0269930069932
method1,,[2],0.01,1.5,1,3,3,0.09666666666666666,69.89
method1,,[2],0.1,1.3,1,106,106,0.2769811320754716,204.27339622641506
method2,0.9,[2],0.05,1.2,30,207,207,0.09990338164251193,110.00173913043476
method2,0.75,[2],0.5,1.3,10,213,213,0.0828169014084506,107.65530516431922
method2,0.25,[2],0.5,1.2,1,254,254,0.24968503937007885,1604.4487007874025
method1,,[2],0.1,1.3,50,407,407,0.27862407862407873,22508528.60498772
method2,0.9,[2],0.05,1.5,30,63,63,0.37444444444444447,168.3987301587301
method2,0.5,[2],0.1,1.2,30,108,108,0.2828703703703703,212.56629629629626
method2,0.5,[2],0.01,1.3,1,67,67,0.35701492537313473,267.32119402985086
method2,0.5,[2],0.01,1.5,1,65,65,0.331076923076923,196.16969230769223
method2,0.25,[2],0.05,1.5,5,10,10,0.019000000000000006,81.877
method2,0.25,[2],0.05,1.3,30,10,10,0.091,96.86
method1,,[2],0.1,1.2,30,61,61,0.2793442622950819,118.35983606557379
method2,0.75,[2],0.5,1.5,10,53,53,0.1430188679245283,96.4366037735849
method1,,[2],0.5,1.2,10,112,112,0.2790178571428572,205.17250000000004
method1,,[2],0.05,1.2,10,30,30,0.2513333333333333,122.9926666666667
method2,0.9,[2],0.1,1.2,10,37,37,0.16756756756756752,95.37108108108106
method2,0.75,[2],0.01,1.3,1,38,38,0.2057894736842105,103.55052631578945
method2,0.75,[2],0.1,1.5,10,53,53,0.2901886792452829,161.41396226415088
method2,0.5,[2],0.5,1.2,30,30,30,0.24499999999999997,111.63466666666667
method2,0.9,[2],0.1,1.5,30,171,171,0.23005847953216363,118.55163742690056
method1,,[2],0.05,1.2,50,132,132,0.38871212121212106,270.17136363636365
method1,,[2],0.05,1.3,10,36,36,0.22722222222222221,127.12138888888886
